mae,rmse,mape,wape,sku_id,model
54.22619047619048,61.93194913954019,46.881647402572206,42.88689148699941,SKU-1001,naive
36.17857142857143,46.6932824406789,30.05710413249068,28.670940426110405,SKU-1001,seasonal_naive
36.991496598639465,44.609408888292144,32.47842745504976,29.29191951469259,SKU-1001,moving_average_7
34.42006802721089,41.83202519238598,30.90982577709455,27.291155371503816,SKU-1001,moving_average_28
31.85613178571459,38.99955061471803,25.004458697904045,25.10511963153966,SKU-1001,sarima
30.349355515979585,38.5298668454148,24.25181134243313,23.95822302561666,SKU-1001,xgboost
19.71428571428571,24.548146024496134,23.612558562111236,22.010302233775263,SKU-1002,naive
19.071428571428573,24.275599915581022,21.951657596257373,21.23956002438281,SKU-1002,seasonal_naive
19.90136054421769,23.966507304362512,24.285785673572633,22.216844709602118,SKU-1002,moving_average_7
19.683673469387752,24.216022644593796,24.738482446830883,21.981615482992922,SKU-1002,moving_average_28
15.36914107663047,18.987933596384195,17.50644772978239,17.143949020241255,SKU-1002,sarima
14.227758407592773,17.631858757062805,16.695778053718147,15.868892755695732,SKU-1002,xgboost
17.380952380952383,21.55955320013244,26.440845292090696,24.1364338057477,SKU-1003,naive
16.0,20.748038044216905,22.392111293428382,21.74820495190117,SKU-1003,seasonal_naive
16.200680272108844,19.75798155801947,24.1137511810676,22.35241853412259,SKU-1003,moving_average_7
15.671768707482991,20.240683233223375,22.22855215057147,21.629246337923373,SKU-1003,moving_average_28
12.179508780534334,14.879859657888437,16.543791839100574,16.70120095851365,SKU-1003,sarima
11.282358532860165,15.421232234614186,14.934034431323743,15.515062752357801,SKU-1003,xgboost
14.19047619047619,19.293326847620246,27.467980065046756,27.42664570038163,SKU-1004,naive
17.523809523809522,24.86597045087348,35.597098053377486,33.540617332283944,SKU-1004,seasonal_naive
13.836734693877553,18.984066064565884,28.940034369662015,26.644473082813164,SKU-1004,moving_average_7
13.58673469387755,18.61242005587854,27.52944607576386,26.154530339873517,SKU-1004,moving_average_28
13.188499305173742,17.33493807370073,25.375496088957334,25.302104459987504,SKU-1004,sarima
13.091250646682013,17.694208092213817,25.880942144797785,25.170565684269373,SKU-1004,xgboost
10.55952380952381,13.323061214667353,28.140769666361056,27.404403954613542,SKU-1005,naive
9.988095238095237,13.260524180640884,26.838114549867786,25.129345798233107,SKU-1005,seasonal_naive
9.763605442176871,11.858806078690067,27.437509558986637,24.973039842855457,SKU-1005,moving_average_7
9.518707482993197,12.118259177511524,24.656130054081178,24.38999686057733,SKU-1005,moving_average_28
7.691838505854517,10.10830875902083,18.86509616846271,19.55591769755974,SKU-1005,sarima
7.076004323505219,9.530352004007675,17.411983754112665,18.012121228297385,SKU-1005,xgboost
8.845238095238095,10.927695650556464,30.72849983191067,28.233825431787782,SKU-1006,naive
7.25,10.201325554955885,22.34853045681869,22.44705665157881,SKU-1006,seasonal_naive
7.811224489795919,9.67673778495948,25.42915404342484,24.64044670004969,SKU-1006,moving_average_7
7.487244897959183,9.599064769437227,23.947993762197616,23.681338023067767,SKU-1006,moving_average_28
5.985299070513318,7.577871622733244,18.173781595721263,18.740377361130186,SKU-1006,sarima
5.13493047441755,6.9272895175612605,14.76030245847793,16.10652930847974,SKU-1006,xgboost
